word	ipa	language	pos	concept	label
guerrilla	gərɪlə	english	noun	guerrilla	1
wok	wɒk	english	noun	wok	1
aurresku	aʊrɛsku	english	noun	aurresku	1
taco	tɑkoʊ	english	noun	taco	1
soprano	səprɑnoʊ	english	noun	soprano	1
yin_yang	jɪnjæŋ	english	noun	yin_yang	1
octet	ɒktɛt	english	noun	octet	1
cabaret	kæbəreɪ	english	noun	cabaret	1
person	pɜrsən	english	noun	person	1
sevillana	sɛvijɑnə	english	noun	sevillana	1
futon	futɒn	english	noun	futon	1
brandy	brændi	english	noun	brandy	1
material	mətɪriəl	english	noun	material	1
karma	kɑrmə	english	noun	karma	1
glissando	ɡlɪsɑndoʊ	english	noun	glissando	1
habanera	hɑbənɛrə	english	noun	habanera	1
courante	kʊrɑnt	english	noun	courante	1
idea	aɪdiə	english	noun	idea	1
archipelago	ɑrkɪpɛləɡoʊ	english	noun	archipelago	1
serenade	sɛrənɑd	english	noun	serenade	1
modern	mɑdərn	english	noun	modern	1
nirvana	nɪrvɑnə	english	noun	nirvana	1
artist	ɑrtɪst	english	noun	artist	1
vodka	vɒdkə	english	noun	vodka	1
conga	kɒŋɡə	english	noun	conga	1
bass	beɪs	english	noun	bass	1
zouk	zuk	english	noun	zouk	1
koala	koʊɑlə	english	noun	koala	1
delicatessen	dɛlɪkətɛsən	english	noun	delicatessen	1
form	fɔrm	english	noun	form	1
piano	piænoʊ	english	noun	piano	1
mattress	mætrəs	english	noun	mattress	1
metal	mɛtəl	english	noun	metal	1
restaurant	rɛstərɑnt	english	noun	restaurant	1
quesadilla	keɪsədijə	english	noun	quesadilla	1
fjord	fjɔrd	english	noun	fjord	1
mass	mæs	english	noun	mass	1
television	tɛləvɪʒən	english	noun	television	1
plankton	plæŋktən	english	noun	plankton	1
piranha	pɪrɑnə	english	noun	piranha	1
mountain	maʊntən	english	noun	mountain	1
espresso	ɛsprɛsoʊ	english	noun	espresso	1
bourree	bʊreɪ	english	noun	bourree	1
tycoon	taɪkun	english	noun	tycoon	1
steppe	stɛp	english	noun	steppe	1
ninja	nɪndʒə	english	noun	ninja	1
coast	koʊst	english	noun	coast	1
culture	kʌltʃər	english	noun	culture	1
recitative	rɛsɪtətiv	english	noun	recitative	1
capybara	kæpɪbɑrə	english	noun	capybara	1
wanderlust	wɑndərlʌst	english	noun	wanderlust	1
karate	kərɑti	english	noun	karate	1
kizomba	kɪzombə	english	noun	kizomba	1
kabuki	kɑbuki	english	noun	kabuki	1
iguana	ɪɡwɑnə	english	noun	iguana	1
energy	ɛnərdʒi	english	noun	energy	1
corvette	kɔrvɛt	english	noun	corvette	1
alpaca	ælpækə	english	noun	alpaca	1
anemone	ənɛməni	english	noun	anemone	1
disco	dɪskoʊ	english	noun	disco	1
origami	ɔrɪɡɑmi	english	noun	origami	1
kimono	kɪmoʊnoʊ	english	noun	kimono	1
leitmotif	laɪtmoʊtif	english	noun	leitmotif	1
ensemble	ɑnsɑmbəl	english	noun	ensemble	1
llama	lɑmə	english	noun	llama	1
galleon	ɡæliən	english	noun	galleon	1
burrito	bəritoʊ	english	noun	burrito	1
industry	ɪndəstri	english	noun	industry	1
cliché	kliʃeɪ	english	noun	cliché	1
kendo	kɛndoʊ	english	noun	kendo	1
savanna	səvænə	english	noun	savanna	1
panda	pændə	english	noun	panda	1
prairie	prɛri	english	noun	prairie	1
coda	koʊdə	english	noun	coda	1
toccata	təkɑtə	english	noun	toccata	1
geisha	geɪʃə	english	noun	geisha	1
gigue	ʒiɡ	english	noun	gigue	1
motet	moʊtɛt	english	noun	motet	1
jota	hoʊtə	english	noun	jota	1
sofa	soʊfə	english	noun	sofa	1
fortissimo	fɔrtɪsɪmoʊ	english	noun	fortissimo	1
brigantine	brɪɡəntin	english	noun	brigantine	1
kaput	kæpʊt	english	noun	kaput	1
